# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.2000    550.0000      0.0000      1.0000      0.0000   1952.4290     20.1874      1.2699      1.2698   1354.0332    205.3648    224.7622      1.4874      1.6279      1.0000 
     2.2000    575.0000      0.0000      1.0000      0.0000   1952.4482     20.1875      1.2699      1.2698   1354.0333    206.2394    225.4467      1.4937      1.6328      1.0000 
     2.2000    600.0000      0.0000      1.0000      0.0000   1952.4667     20.1876      1.2700      1.2698   1354.0335    207.0702    226.1003      1.4997      1.6375      1.0000 
     2.2000    625.0000      0.0000      1.0000      0.0000   1952.4846     20.1877      1.2700      1.2698   1354.0338    207.8612    226.7253      1.5054      1.6421      1.0000 
     2.2000    650.0000      0.0000      1.0000      0.0000   1952.5018     20.1878      1.2700      1.2698   1354.0341    208.6160    227.3241      1.5109      1.6464      1.0000 
     2.2000    675.0000      0.0000      1.0000      0.0000   1952.5185     20.1879      1.2700      1.2698   1354.0344    209.3376    227.8986      1.5161      1.6506      1.0000 
     2.2000    700.0000      0.0000      1.0000      0.0000   1952.5347     20.1880      1.2700      1.2699   1354.0349    210.0287    228.4506      1.5211      1.6546      1.0000 
     2.2000    725.0000      0.0000      1.0000      0.0000   1952.5504     20.1881      1.2701      1.2699   1354.0354    210.6916    228.9817      1.5259      1.6584      1.0000 
     2.2000    750.0000      0.0000      1.0000      0.0000   1952.5658     20.1882      1.2701      1.2699   1354.0359    211.3286    229.4934      1.5306      1.6621      1.0000 
     2.4000    200.0000      0.0000      1.0000      0.0000   2118.2044     20.8459      1.2599      1.2597   1391.3602    187.8023    214.6635      1.3237      1.5130      1.0000 
     2.4000    225.0000      0.0000      1.0000      0.0000   2118.3709     20.8463      1.2601      1.2599   1391.3550    190.9019    216.6707      1.3455      1.5272      1.0000 
     2.4000    250.0000      0.0000      1.0000      0.0000   2118.5124     20.8466      1.2603      1.2601   1391.3505    193.5687    218.4189      1.3643      1.5395      1.0000 
     2.4000    275.0000      0.0000      1.0000      0.0000   2118.6348     20.8468      1.2604      1.2602   1391.3467    195.9000    219.9631      1.3808      1.5504      1.0000 
     2.4000    300.0000      0.0000      1.0000      0.0000   2118.7421     20.8471      1.2605      1.2604   1391.3433    197.9645    221.3432      1.3953      1.5601      1.0000 
